sex,province,education,religion_importance,aboriginal,hh_size,age,vote
(1) Male,(10) British Columbia,(9) Bachelor's degree,Somewhat important,No,2,29,Liberal
(2) Female,(10) British Columbia,"(7) Completed technical, community college, CEGEP, College C",Very important,No,1,62,Greens
(1) Male,(10) British Columbia,(9) Bachelor's degree,Somewhat important,No,2,50,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,3,49,Conservatives
(2) Female,(10) British Columbia,(9) Bachelor's degree,Not very important,No,5,26,Liberal
(1) Male,(10) British Columbia,(9) Bachelor's degree,Very important,No,2,32,NDP
(2) Female,(10) British Columbia,(5) Completed secondary / high school,Somewhat important,No,7,19,NDP
(2) Female,(10) British Columbia,(5) Completed secondary / high school,Somewhat important,No,15,37,NDP
(1) Male,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,2,22,Conservatives
(1) Male,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Very important,No,6,53,Conservatives
(2) Female,(9) Alberta,(5) Completed secondary / high school,Not important at all,Yes,2,30,NDP
(1) Male,(9) Alberta,(9) Bachelor's degree,Not very important,No,4,36,Liberal
(1) Male,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,2,62,Conservatives
(2) Female,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Not very important,No,2,26,Greens
(2) Female,(9) Alberta,(9) Bachelor's degree,Somewhat important,No,2,29,Liberal
(2) Female,(9) Alberta,"(6) Some technical, community college, CEGEP, College Classi",Not very important,No,4,55,Conservatives
(1) Male,(9) Alberta,(9) Bachelor's degree,Very important,No,2,65,Conservatives
(1) Male,(9) Alberta,(5) Completed secondary / high school,Very important,No,5,30,Conservatives
(1) Male,(9) Alberta,(9) Bachelor's degree,Somewhat important,No,2,46,Liberal
(2) Female,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,6,32,Conservatives
(1) Male,(9) Alberta,(5) Completed secondary / high school,Somewhat important,No,2,62,Conservatives
(2) Female,(9) Alberta,(11) Professional degree or doctorate,Somewhat important,No,3,49,Conservatives
(2) Female,(9) Alberta,(10) Master's degree,Somewhat important,No,2,61,Liberal
(2) Female,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Very important,No,6,55,Liberal
(1) Male,(9) Alberta,(2) Some elementary school,Very important,No,2,75,Conservatives
(1) Male,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,2,62,Conservatives
(1) Male,(9) Alberta,(4) Some secondary / high school,Somewhat important,No,2,43,Conservatives
(2) Female,(9) Alberta,(9) Bachelor's degree,Not very important,No,2,64,Conservatives
(1) Male,(9) Alberta,(9) Bachelor's degree,Somewhat important,No,2,59,Conservatives
(1) Male,(9) Alberta,(5) Completed secondary / high school,Somewhat important,No,2,33,Conservatives
(1) Male,(9) Alberta,(9) Bachelor's degree,Somewhat important,No,3,51,Liberal
(2) Female,(9) Alberta,(9) Bachelor's degree,Not very important,No,2,28,NDP
(1) Male,(9) Alberta,(8) Some university,Very important,No,2,69,Conservatives
(2) Female,(9) Alberta,(8) Some university,Very important,No,3,56,Conservatives
(1) Male,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,4,46,Conservatives
(1) Male,(9) Alberta,(5) Completed secondary / high school,Not very important,No,2,29,Conservatives
(1) Male,(9) Alberta,(9) Bachelor's degree,Very important,No,2,67,Conservatives
(1) Male,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,2,57,Conservatives
(1) Male,(7) Manitoba,(8) Some university,Very important,No,2,22,Liberal
(2) Female,(7) Manitoba,(9) Bachelor's degree,Not very important,No,1,39,Liberal
(1) Male,(7) Manitoba,"(7) Completed technical, community college, CEGEP, College C",Very important,No,4,40,Conservatives
(1) Male,(7) Manitoba,(10) Master's degree,Don't know,No,4,51,Conservatives
(2) Female,(7) Manitoba,(9) Bachelor's degree,Somewhat important,No,1,29,Conservatives
(2) Female,(7) Manitoba,(5) Completed secondary / high school,Somewhat important,No,5,31,Liberal
(1) Male,(7) Manitoba,(8) Some university,Very important,No,5,46,Conservatives
(1) Male,(7) Manitoba,"(7) Completed technical, community college, CEGEP, College C",Not important at all,No,5,29,Conservatives
(2) Female,(7) Manitoba,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,4,41,Liberal
(1) Male,(8) Saskatchewan,"(6) Some technical, community college, CEGEP, College Classi",Somewhat important,No,5,33,Conservatives
(1) Male,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Very important,No,5,29,Conservatives
(2) Female,(8) Saskatchewan,(9) Bachelor's degree,Very important,No,1,71,Conservatives
(1) Male,(8) Saskatchewan,(8) Some university,Somewhat important,No,1,21,Conservatives
(2) Female,(9) Alberta,(9) Bachelor's degree,Very important,No,4,30,Conservatives
(2) Female,(1) Newfoundland and Labrador,(9) Bachelor's degree,Somewhat important,No,2,50,NDP
(1) Male,(2) Prince Edward Island,(11) Professional degree or doctorate,Not important at all,No,2,61,Conservatives
(2) Female,(2) Prince Edward Island,(11) Professional degree or doctorate,Not important at all,No,1,26,Liberal
(2) Female,(3) Nova Scotia,"(6) Some technical, community college, CEGEP, College Classi",Somewhat important,No,4,44,Conservatives
(2) Female,(3) Nova Scotia,"(7) Completed technical, community college, CEGEP, College C",Not important at all,No,6,25,Greens
(2) Female,(3) Nova Scotia,(9) Bachelor's degree,Somewhat important,No,2,48,Conservatives
(1) Male,(3) Nova Scotia,"(7) Completed technical, community college, CEGEP, College C",Not very important,No,2,58,Conservatives
(2) Female,(3) Nova Scotia,(10) Master's degree,Not important at all,No,2,44,Liberal
(2) Female,(3) Nova Scotia,(9) Bachelor's degree,Very important,No,5,37,Conservatives
(1) Male,(3) Nova Scotia,(5) Completed secondary / high school,Very important,No,7,38,Conservatives
(1) Male,(3) Nova Scotia,"(7) Completed technical, community college, CEGEP, College C",Very important,No,3,47,NDP
(1) Male,(3) Nova Scotia,(5) Completed secondary / high school,Not very important,No,2,19,NDP
(1) Male,(3) Nova Scotia,(10) Master's degree,Very important,No,2,61,Liberal
(1) Male,(3) Nova Scotia,(8) Some university,Very important,No,1,73,Conservatives
(2) Female,(3) Nova Scotia,(9) Bachelor's degree,Somewhat important,No,3,32,Conservatives
(1) Male,(8) Saskatchewan,"(6) Some technical, community college, CEGEP, College Classi",Somewhat important,No,2,65,Conservatives
(1) Male,(8) Saskatchewan,(11) Professional degree or doctorate,Somewhat important,No,1,79,Liberal
(1) Male,(8) Saskatchewan,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,5,36,Conservatives
(2) Female,(8) Saskatchewan,"(7) Completed technical, community college, CEGEP, College C",Not very important,No,2,23,Conservatives
(2) Female,(8) Saskatchewan,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,2,63,People's Party
(2) Female,(8) Saskatchewan,"(7) Completed technical, community college, CEGEP, College C",Very important,No,1,56,Conservatives
(2) Female,(9) Alberta,(10) Master's degree,Very important,No,4,54,Conservatives
(2) Female,(4) New Brunswick,(9) Bachelor's degree,Somewhat important,No,2,64,Liberal
(2) Female,(4) New Brunswick,(8) Some university,Not very important,No,3,45,Conservatives
(2) Female,(4) New Brunswick,(10) Master's degree,Somewhat important,No,2,73,Liberal
(2) Female,(1) Newfoundland and Labrador,(8) Some university,Very important,No,1,89,Liberal
(1) Male,(3) Nova Scotia,(10) Master's degree,Very important,No,4,60,Greens
(2) Female,(3) Nova Scotia,(10) Master's degree,Somewhat important,No,2,71,Liberal
(2) Female,(10) British Columbia,(10) Master's degree,Not very important,No,2,65,NDP
(2) Female,(10) British Columbia,(9) Bachelor's degree,Very important,No,4,43,Conservatives
(1) Male,(10) British Columbia,(5) Completed secondary / high school,Very important,Yes,3,49,Conservatives
(2) Female,(10) British Columbia,(4) Some secondary / high school,Somewhat important,No,4,34,Conservatives
(1) Male,(10) British Columbia,(5) Completed secondary / high school,Very important,No,6,72,Conservatives
(1) Male,(10) British Columbia,(11) Professional degree or doctorate,Somewhat important,No,2,72,Liberal
(1) Male,(10) British Columbia,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,2,68,Liberal
(1) Male,(10) British Columbia,"(7) Completed technical, community college, CEGEP, College C",Not very important,No,2,74,NDP
(2) Female,(10) British Columbia,(8) Some university,Not very important,No,1,82,Conservatives
(2) Female,(10) British Columbia,"(7) Completed technical, community college, CEGEP, College C",Not important at all,No,1,57,NDP
(2) Female,(10) British Columbia,"(7) Completed technical, community college, CEGEP, College C",Not very important,No,2,77,Liberal
(1) Male,(10) British Columbia,(9) Bachelor's degree,Very important,No,2,69,Conservatives
(1) Male,(6) Ontario,(8) Some university,Very important,No,2,80,People's Party
(1) Male,(6) Ontario,(10) Master's degree,Very important,No,2,69,Liberal
(2) Female,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Somewhat important,No,5,44,Conservatives
(1) Male,(6) Ontario,(4) Some secondary / high school,Somewhat important,No,1,74,Liberal
(1) Male,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Not very important,No,2,73,Liberal
(1) Male,(6) Ontario,(10) Master's degree,Somewhat important,No,1,76,Liberal
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,1,65,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Not important at all,No,4,53,Conservatives
(1) Male,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,3,82,Liberal
(1) Male,(6) Ontario,(11) Professional degree or doctorate,Somewhat important,No,3,59,Conservatives
(1) Male,(6) Ontario,(5) Completed secondary / high school,Not very important,No,3,60,Conservatives
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,1,82,Conservatives
(1) Male,(6) Ontario,(10) Master's degree,Not very important,No,2,65,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Very important,No,3,58,Liberal
(2) Female,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Very important,No,4,60,NDP
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,2,68,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Very important,No,2,80,Conservatives
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Not very important,No,4,42,Conservatives
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,5,45,Liberal
(1) Male,(6) Ontario,(9) Bachelor's degree,Very important,No,3,66,Greens
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,2,29,NDP
(1) Male,(6) Ontario,(4) Some secondary / high school,Very important,No,3,72,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Very important,No,3,73,Greens
(1) Male,(6) Ontario,(9) Bachelor's degree,Not very important,No,1,68,Liberal
(2) Female,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Very important,No,2,86,Conservatives
(2) Female,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,6,18,NDP
(1) Male,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,2,62,Conservatives
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,2,64,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Very important,No,5,69,Liberal
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,1,60,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,2,63,Liberal
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,1,65,Liberal
(2) Female,(6) Ontario,(5) Completed secondary / high school,Very important,No,3,82,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,1,86,Greens
(2) Female,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,2,63,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,Yes,3,58,NDP
(1) Male,(6) Ontario,(10) Master's degree,Very important,No,2,73,Greens
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,4,43,Liberal
(2) Female,(6) Ontario,(10) Master's degree,Very important,No,1,79,Liberal
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,3,57,Liberal
(1) Male,(6) Ontario,(5) Completed secondary / high school,Very important,No,2,80,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,3,52,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,4,49,Liberal
(2) Female,(6) Ontario,(10) Master's degree,Somewhat important,No,2,59,Conservatives
(1) Male,(6) Ontario,(8) Some university,Not important at all,No,2,65,Conservatives
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,5,85,Liberal
(2) Female,(6) Ontario,(10) Master's degree,Very important,No,1,65,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,5,46,Conservatives
(1) Male,(7) Manitoba,(4) Some secondary / high school,Somewhat important,No,1,66,Liberal
(2) Female,(8) Saskatchewan,(10) Master's degree,Very important,No,1,41,Liberal
(2) Female,(8) Saskatchewan,"(7) Completed technical, community college, CEGEP, College C",Very important,No,2,77,Conservatives
(2) Female,(8) Saskatchewan,"(7) Completed technical, community college, CEGEP, College C",Very important,No,7,41,Conservatives
(2) Female,(8) Saskatchewan,(9) Bachelor's degree,Very important,No,2,55,Conservatives
(1) Male,(8) Saskatchewan,(4) Some secondary / high school,Not very important,No,4,49,Conservatives
(1) Male,(8) Saskatchewan,(4) Some secondary / high school,Very important,No,1,80,Conservatives
(1) Male,(8) Saskatchewan,(4) Some secondary / high school,Somewhat important,No,1,78,Greens
(1) Male,(8) Saskatchewan,(10) Master's degree,Very important,No,2,78,Conservatives
(1) Male,(8) Saskatchewan,(11) Professional degree or doctorate,Somewhat important,No,2,68,NDP
(2) Female,(8) Saskatchewan,(5) Completed secondary / high school,Somewhat important,No,1,62,Liberal
(1) Male,(8) Saskatchewan,(8) Some university,Somewhat important,No,2,79,Conservatives
(2) Female,(9) Alberta,"(6) Some technical, community college, CEGEP, College Classi",Not very important,No,1,71,Liberal
(2) Female,(9) Alberta,(9) Bachelor's degree,Not very important,No,4,31,Conservatives
(2) Female,(9) Alberta,(5) Completed secondary / high school,Somewhat important,No,4,37,Conservatives
(2) Female,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,3,52,Conservatives
(2) Female,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,1,67,Conservatives
(1) Male,(9) Alberta,(5) Completed secondary / high school,Very important,No,2,68,Conservatives
(2) Female,(9) Alberta,(10) Master's degree,Very important,No,4,44,Liberal
(2) Female,(9) Alberta,(5) Completed secondary / high school,Very important,No,2,79,NDP
(1) Male,(9) Alberta,(9) Bachelor's degree,Not very important,No,2,64,Conservatives
(2) Female,(9) Alberta,(9) Bachelor's degree,Very important,No,2,74,Liberal
(2) Female,(9) Alberta,"(7) Completed technical, community college, CEGEP, College C",Very important,No,2,74,Liberal
(1) Male,(9) Alberta,(4) Some secondary / high school,Somewhat important,Yes,2,54,NDP
(2) Female,(9) Alberta,(3) Completed elementary school,Very important,No,4,33,Conservatives
(2) Female,(9) Alberta,(9) Bachelor's degree,Very important,No,2,83,Conservatives
(2) Female,(9) Alberta,"(6) Some technical, community college, CEGEP, College Classi",Very important,No,1,59,Conservatives
(1) Male,(5) Quebec,(5) Completed secondary / high school,Not important at all,No,1,62,Conservatives
(1) Male,(5) Quebec,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,1,59,Bloc Quebecois
(2) Female,(5) Quebec,(9) Bachelor's degree,Somewhat important,No,5,34,Greens
(2) Female,(5) Quebec,"(6) Some technical, community college, CEGEP, College Classi",Not very important,No,1,59,Conservatives
(1) Male,(5) Quebec,(9) Bachelor's degree,Not important at all,No,1,63,Conservatives
(2) Female,(5) Quebec,(9) Bachelor's degree,Not important at all,No,1,51,Liberal
(2) Female,(5) Quebec,(10) Master's degree,Somewhat important,No,5,37,Liberal
