sex,province,education,religion_importance,aboriginal,hh_size,age
Female,New Brunswick,Below Bachelor,Somewhat important,No,2,51.3
Female,New Brunswick,Below Bachelor,Very important,No,2,52.9
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,1,76.6
Female,Alberta,Below Bachelor,Somewhat important,No,4,16.7
Male,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,2,62.3
Male,Alberta,Below Bachelor,Very important,No,1,57.2
Male,Ontario,Below Bachelor,Somewhat important,No,1,80
Male,British Columbia,Below Bachelor,Somewhat important,No,1,69.2
Male,Ontario,Below Bachelor,Not very important,No,1,70.6
Female,Nova Scotia,Below Bachelor,Somewhat important,No,2,73.4
Male,Ontario,Below Bachelor,Very important,No,2,80
Female,Saskatchewan,Below Bachelor,Very important,No,1,67.4
Female,Ontario,Below Bachelor,Not at all important,No,2,61.8
Male,Ontario,Below Bachelor,Somewhat important,No,1,67.4
Male,Nova Scotia,Below Bachelor,Not very important,No,1,47.3
Female,Ontario,Below Bachelor,Somewhat important,No,1,52.6
Female,Manitoba,Below Bachelor,Not very important,Yes,3,20.3
Female,Quebec,Below Bachelor,Not at all important,No,3,31.6
Male,Ontario,Below Bachelor,Very important,No,2,78
Female,Ontario,Below Bachelor,Not very important,No,1,24.3
Female,Quebec,Below Bachelor,Somewhat important,No,3,50
Male,Ontario,Below Bachelor,Very important,No,2,63.1
Female,Quebec,Below Bachelor,Not at all important,No,1,62
Female,Alberta,Below Bachelor,Somewhat important,No,1,36.4
Male,Ontario,Below Bachelor,Not at all important,No,1,63.1
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,1,68.2
Male,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,5,53.5
Male,Ontario,Below Bachelor,Somewhat important,No,2,68
Female,Saskatchewan,Below Bachelor,Somewhat important,No,2,57.5
Male,British Columbia,Below Bachelor,Not at all important,No,2,51.5
Male,British Columbia,Below Bachelor,Very important,Yes,1,34.9
Female,Prince Edward Island,Below Bachelor,Very important,No,1,61.7
Female,Quebec,Below Bachelor,Not very important,No,1,24.3
Female,Prince Edward Island,Below Bachelor,Not very important,No,1,71.6
Male,Quebec,Below Bachelor,Not at all important,No,2,68.3
Male,British Columbia,Below Bachelor,Not very important,No,2,59.2
Female,New Brunswick,Below Bachelor,Somewhat important,No,3,41.4
Female,Alberta,Below Bachelor,Somewhat important,No,2,66.8
Female,Quebec,Below Bachelor,Not very important,No,4,56.2
Male,British Columbia,Below Bachelor,Somewhat important,No,2,76.6
Female,Ontario,Below Bachelor,Not at all important,No,2,53.7
Female,Prince Edward Island,Below Bachelor,Very important,No,1,76
Female,Saskatchewan,Below Bachelor,Very important,Yes,2,30.6
Female,British Columbia,Below Bachelor,Somewhat important,No,2,53.9
Male,Ontario,Below Bachelor,Not very important,No,2,53.3
Male,Ontario,Below Bachelor,Somewhat important,No,2,70.5
Female,Quebec,Below Bachelor,Somewhat important,No,2,72.5
Female,Prince Edward Island,Below Bachelor,Very important,No,2,37
Male,Quebec,Below Bachelor,Not at all important,No,4,31.2
Female,Alberta,Below Bachelor,Somewhat important,No,1,53.7
Female,British Columbia,Below Bachelor,Somewhat important,No,2,61.8
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,5,45.8
Female,British Columbia,Below Bachelor,Not at all important,No,4,32.3
Female,Quebec,Below Bachelor,Somewhat important,No,2,66.8
Male,British Columbia,Below Bachelor,Very important,No,1,65.6
Female,British Columbia,Below Bachelor,Very important,No,2,63.8
Male,Ontario,Below Bachelor,Not very important,No,3,80
Female,Nova Scotia,Below Bachelor,Somewhat important,Yes,3,67.8
Male,Saskatchewan,Below Bachelor,Somewhat important,No,2,66.8
Female,British Columbia,Below Bachelor,Very important,Yes,1,61.9
Male,Ontario,Below Bachelor,Somewhat important,No,5,40.4
Female,Ontario,Below Bachelor,Very important,No,2,26
Male,Alberta,Below Bachelor,Not very important,No,2,57.3
Male,Saskatchewan,Below Bachelor,Not very important,No,2,35.9
Male,Alberta,Below Bachelor,Very important,No,2,63.1
Female,Prince Edward Island,Below Bachelor,Very important,No,3,38.8
Male,Quebec,Below Bachelor,Very important,No,2,63.3
Male,Ontario,Below Bachelor,Somewhat important,No,2,65.5
Female,Alberta,Below Bachelor,Not very important,No,4,19.5
Female,New Brunswick,Below Bachelor,Very important,No,1,72.3
Male,Newfoundland and Labrador,Below Bachelor,Not very important,No,1,27.8
Female,Quebec,Below Bachelor,Somewhat important,Yes,2,62.6
Female,Saskatchewan,Below Bachelor,Somewhat important,No,1,56.7
Female,Manitoba,Below Bachelor,Somewhat important,Yes,2,58.3
Female,Alberta,Below Bachelor,Not very important,No,2,60.8
Male,Nova Scotia,Below Bachelor,Not very important,No,2,66.3
Male,Ontario,Below Bachelor,Not very important,No,1,62.7
Male,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,3,32.9
Male,Quebec,Below Bachelor,Somewhat important,No,4,39.3
Female,Nova Scotia,Below Bachelor,Not very important,Yes,4,47.6
Male,Ontario,Below Bachelor,Not at all important,No,3,22.4
Male,British Columbia,Below Bachelor,Somewhat important,No,1,65.3
Female,Alberta,Below Bachelor,Very important,No,2,49.6
Male,Nova Scotia,Below Bachelor,Not very important,No,4,22.7
Male,New Brunswick,Below Bachelor,Not at all important,No,2,65.5
Female,Quebec,Below Bachelor,Not at all important,No,1,34.9
Male,British Columbia,Below Bachelor,Don't know,No,1,50.1
Female,Quebec,Below Bachelor,Somewhat important,No,3,61.8
Male,Saskatchewan,Below Bachelor,Very important,No,1,59.7
Female,Newfoundland and Labrador,Below Bachelor,Very important,Yes,3,41.9
Male,Ontario,Below Bachelor,Somewhat important,No,3,17.3
Female,Saskatchewan,Below Bachelor,Very important,No,2,80
Female,British Columbia,Below Bachelor,Not at all important,No,4,35.8
Male,Ontario,Below Bachelor,Not very important,No,3,66.7
Female,Quebec,Below Bachelor,Somewhat important,No,2,26.5
Female,New Brunswick,Below Bachelor,Not at all important,No,2,55.1
Male,Alberta,Below Bachelor,Somewhat important,No,2,16.8
Male,Nova Scotia,Below Bachelor,Very important,No,2,57.9
Male,New Brunswick,Below Bachelor,Not very important,No,4,44.2
Male,Quebec,Below Bachelor,Not at all important,No,2,27.4
Male,Manitoba,Below Bachelor,Not very important,No,6,16.1
Female,New Brunswick,Below Bachelor,Very important,No,2,71.3
Male,Quebec,Below Bachelor,Somewhat important,No,1,68.8
Male,Manitoba,Below Bachelor,Not very important,No,1,80
Male,Ontario,Below Bachelor,Somewhat important,No,1,55
Female,Ontario,Below Bachelor,Somewhat important,No,1,54.9
Male,British Columbia,Below Bachelor,Not at all important,No,1,69.9
Male,Nova Scotia,Below Bachelor,Very important,No,2,41
Male,Ontario,Below Bachelor,Very important,No,3,61.6
Female,Alberta,Below Bachelor,Somewhat important,No,1,77.6
Female,Nova Scotia,Below Bachelor,Not very important,No,2,54.8
Female,Quebec,Below Bachelor,Somewhat important,No,1,80
Male,Saskatchewan,Below Bachelor,Very important,No,2,59.5
Male,Ontario,Below Bachelor,Very important,No,2,78.8
Female,New Brunswick,Below Bachelor,Very important,No,2,67.8
Female,Quebec,Below Bachelor,Very important,No,1,74.8
Male,Quebec,Below Bachelor,Very important,No,1,77.9
Female,British Columbia,Below Bachelor,Not at all important,No,2,53.7
Male,Alberta,Below Bachelor,Somewhat important,No,4,39.8
Male,Quebec,Below Bachelor,Very important,No,2,48.9
Male,Quebec,Below Bachelor,Very important,No,5,40.6
Male,Ontario,Below Bachelor,Not very important,No,2,29.9
Male,British Columbia,Below Bachelor,Not very important,No,2,18
Male,British Columbia,Below Bachelor,Somewhat important,No,1,44.6
Male,Alberta,Below Bachelor,Not very important,No,3,26.4
Female,Quebec,Below Bachelor,Not very important,No,2,61.2
Male,Alberta,Below Bachelor,Not very important,No,4,31.8
Female,Quebec,Below Bachelor,Very important,No,1,80
Female,Quebec,Below Bachelor,Not very important,No,1,70.6
Male,British Columbia,Below Bachelor,Somewhat important,Yes,2,63.3
Female,Quebec,Below Bachelor,Somewhat important,No,2,26.3
Male,New Brunswick,Below Bachelor,Very important,No,1,58.6
Male,Alberta,Below Bachelor,Somewhat important,No,2,34.3
Male,Alberta,Below Bachelor,Very important,No,6,39.5
Male,Alberta,Below Bachelor,Not at all important,No,1,39.4
Female,Ontario,Below Bachelor,Somewhat important,No,1,43
Male,Ontario,Below Bachelor,Somewhat important,No,2,52.6
Female,Alberta,Below Bachelor,Somewhat important,No,4,20.9
Male,Ontario,Below Bachelor,Somewhat important,No,1,58.9
Male,Ontario,Below Bachelor,Somewhat important,No,2,61.9
Female,Ontario,Below Bachelor,Somewhat important,No,2,57.8
Male,Manitoba,Below Bachelor,Very important,No,2,69.1
Male,New Brunswick,Below Bachelor,Somewhat important,No,2,62.7
Female,New Brunswick,Below Bachelor,Very important,No,3,48.1
Female,Nova Scotia,Below Bachelor,Very important,No,2,59.6
Male,Ontario,Below Bachelor,Not very important,No,2,40.9
Male,British Columbia,Below Bachelor,Not at all important,No,4,44.3
Female,Quebec,Below Bachelor,Somewhat important,No,1,72.3
Female,Ontario,Below Bachelor,Not very important,No,5,24.3
Male,New Brunswick,Below Bachelor,Somewhat important,No,2,46.3
Male,Nova Scotia,Below Bachelor,Very important,No,4,37.4
Female,Quebec,Below Bachelor,Somewhat important,No,4,48.1
Female,Alberta,Below Bachelor,Somewhat important,No,3,40.2
Female,British Columbia,Below Bachelor,Not very important,No,3,32.3
Male,Quebec,Below Bachelor,Not very important,No,3,58.5
Female,Ontario,Below Bachelor,Somewhat important,No,1,79.9
Male,Ontario,Below Bachelor,Not very important,No,4,21.4
Male,Ontario,Below Bachelor,Somewhat important,No,1,61.3
Male,Ontario,Below Bachelor,Somewhat important,No,4,53.8
Male,Nova Scotia,Below Bachelor,Somewhat important,Yes,2,76.8
Female,Manitoba,Below Bachelor,Not at all important,No,2,72.6
Female,Ontario,Below Bachelor,Not very important,No,2,70
Female,Saskatchewan,Below Bachelor,Very important,No,1,69.3
Male,Prince Edward Island,Below Bachelor,Not very important,No,5,51.4
Male,British Columbia,Below Bachelor,Very important,No,5,37
Female,Ontario,Below Bachelor,Very important,No,1,79
Female,Ontario,Below Bachelor,Not very important,No,1,27.5
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,1,80
Male,Quebec,Below Bachelor,Not very important,No,4,24.5
Female,British Columbia,Below Bachelor,Somewhat important,No,1,61.2
Male,Alberta,Below Bachelor,Very important,No,2,56
Female,British Columbia,Below Bachelor,Not very important,No,4,40
Female,Quebec,Below Bachelor,Not very important,No,1,55.9
Female,Quebec,Below Bachelor,Very important,No,2,59.8
Female,Alberta,Below Bachelor,Very important,No,5,38.9
Male,Prince Edward Island,Below Bachelor,Very important,No,2,61.3
Male,Newfoundland and Labrador,Below Bachelor,Not very important,No,2,73.3
Female,Manitoba,Below Bachelor,Somewhat important,Yes,4,30.3
Female,Manitoba,Below Bachelor,Somewhat important,No,4,19.9
Female,British Columbia,Below Bachelor,Somewhat important,No,1,62.4
Female,Quebec,Below Bachelor,Very important,No,4,28.7
Female,Ontario,Below Bachelor,Somewhat important,No,3,46.8
Male,Ontario,Below Bachelor,Not at all important,No,3,36.6
Male,Ontario,Below Bachelor,Not at all important,No,4,22.1
Male,Ontario,Below Bachelor,Not at all important,No,1,80
Male,Ontario,Below Bachelor,Somewhat important,No,4,47.8
Female,Ontario,Below Bachelor,Somewhat important,No,3,63.6
Male,Quebec,Below Bachelor,Not at all important,No,3,56.3
Male,Ontario,Below Bachelor,Somewhat important,No,1,50.6
Male,Alberta,Below Bachelor,Very important,No,2,56
Male,Quebec,Below Bachelor,Very important,Yes,1,60.5
Female,Alberta,Below Bachelor,Don't know,No,1,80
Male,New Brunswick,Below Bachelor,Very important,No,2,57.5
Female,Nova Scotia,Below Bachelor,Somewhat important,No,2,50.1
Male,Quebec,Below Bachelor,Somewhat important,No,1,67.8
Male,British Columbia,Below Bachelor,Somewhat important,No,1,76.7
Male,Manitoba,Below Bachelor,Somewhat important,No,1,57.3
Male,Quebec,Below Bachelor,Not very important,No,1,78
Female,Quebec,Below Bachelor,Somewhat important,No,2,61.6
Female,Ontario,Below Bachelor,Very important,No,2,72.4
Female,Quebec,Below Bachelor,Not at all important,No,3,37.8
Male,Ontario,Below Bachelor,Not at all important,No,3,51.1
Male,Quebec,Below Bachelor,Not at all important,No,2,68.8
Female,New Brunswick,Below Bachelor,Very important,No,2,67.2
Female,British Columbia,Below Bachelor,Not at all important,No,3,28.3
Female,New Brunswick,Below Bachelor,Very important,No,3,60.9
Female,Quebec,Below Bachelor,Not very important,No,2,31.8
Female,British Columbia,Below Bachelor,Not very important,No,5,46.7
Male,Ontario,Below Bachelor,Somewhat important,No,4,36.3
Male,New Brunswick,Below Bachelor,Very important,No,2,51.5
Female,Ontario,Below Bachelor,Very important,No,3,57.5
Male,Alberta,Below Bachelor,Not at all important,No,4,19.2
Female,Quebec,Below Bachelor,Very important,No,1,51.8
Female,Nova Scotia,Below Bachelor,Not very important,No,3,48.6
Female,Prince Edward Island,Below Bachelor,Very important,No,2,55.4
Male,Ontario,Below Bachelor,Somewhat important,No,2,63.7
Female,Saskatchewan,Below Bachelor,Somewhat important,No,1,57.7
Male,New Brunswick,Below Bachelor,Very important,No,2,68
Male,British Columbia,Below Bachelor,Somewhat important,No,1,76.4
Female,New Brunswick,Below Bachelor,Not very important,No,2,56.2
Female,New Brunswick,Below Bachelor,Not very important,No,4,36.4
Female,Ontario,Below Bachelor,Very important,No,2,68.8
Male,Quebec,Below Bachelor,Somewhat important,No,3,28
Male,Nova Scotia,Below Bachelor,Not at all important,No,1,40.9
Male,Quebec,Below Bachelor,Not at all important,No,2,64.2
Male,British Columbia,Below Bachelor,Somewhat important,No,2,75.4
Female,Saskatchewan,Below Bachelor,Somewhat important,No,1,80
Male,Quebec,Below Bachelor,Not very important,No,1,28.6
Female,Prince Edward Island,Below Bachelor,Very important,No,1,59.7
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,3,51.7
Female,Quebec,Below Bachelor,Somewhat important,No,1,80
Male,Newfoundland and Labrador,Below Bachelor,Very important,No,2,53.6
Female,Ontario,Below Bachelor,Somewhat important,No,1,58.7
Female,Alberta,Below Bachelor,Not at all important,No,5,35.7
Male,Ontario,Below Bachelor,Somewhat important,No,3,19.9
Male,Quebec,Below Bachelor,Not at all important,No,2,57.8
Female,British Columbia,Below Bachelor,Very important,No,2,59.2
Male,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,1,80
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,1,78.8
Male,Ontario,Below Bachelor,Not at all important,No,3,58.1
Female,Nova Scotia,Below Bachelor,Somewhat important,No,1,59.9
Female,Nova Scotia,Below Bachelor,Somewhat important,No,3,57.9
Male,Ontario,Below Bachelor,Not very important,Yes,4,18.5
Female,British Columbia,Below Bachelor,Somewhat important,No,1,62.4
Male,British Columbia,Below Bachelor,Very important,No,5,18.8
Female,Ontario,Below Bachelor,Very important,No,2,53.6
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,1,80
Female,Prince Edward Island,Below Bachelor,Very important,No,2,65.8
Female,Quebec,Below Bachelor,Not very important,No,2,54.8
Male,Quebec,Below Bachelor,Not very important,No,5,41.3
Female,British Columbia,Below Bachelor,Not very important,No,6,42.7
Female,Prince Edward Island,Below Bachelor,Somewhat important,No,2,38.6
Male,Nova Scotia,Below Bachelor,Don't know,No,2,75.8
Female,Alberta,Below Bachelor,Very important,No,3,37.3
Male,Prince Edward Island,Below Bachelor,Very important,No,2,67.4
Female,Ontario,Below Bachelor,Very important,No,3,63.6
Female,Ontario,Below Bachelor,Not at all important,No,2,24.1
Female,Nova Scotia,Below Bachelor,Very important,No,1,74.3
Female,Ontario,Below Bachelor,Not at all important,No,1,66.7
Male,Ontario,Below Bachelor,Very important,No,2,67.7
Male,Saskatchewan,Below Bachelor,Not very important,No,4,43.1
Female,Ontario,Below Bachelor,Very important,No,3,55
Male,Quebec,Below Bachelor,Not at all important,No,2,35.8
Male,Ontario,Below Bachelor,Very important,No,2,58.3
Female,Nova Scotia,Below Bachelor,Very important,No,1,80
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,1,52.2
Male,New Brunswick,Below Bachelor,Not at all important,No,2,54.1
Male,British Columbia,Below Bachelor,Not at all important,No,3,74.2
Male,British Columbia,Below Bachelor,Somewhat important,No,4,22.8
Female,Ontario,Below Bachelor,Somewhat important,No,4,40.8
Female,Manitoba,Below Bachelor,Somewhat important,No,1,64.4
Male,Alberta,Below Bachelor,Not at all important,No,3,48.5
Male,Ontario,Below Bachelor,Not very important,No,1,43.6
Male,Quebec,Below Bachelor,Not very important,No,1,30.7
Male,New Brunswick,Below Bachelor,Not at all important,No,4,36.9
Female,Alberta,Below Bachelor,Not at all important,No,2,62.2
Female,New Brunswick,Below Bachelor,Not at all important,No,1,68.2
Female,Nova Scotia,Below Bachelor,Not at all important,No,1,69.3
Female,British Columbia,Below Bachelor,Somewhat important,No,1,54.3
Female,Nova Scotia,Below Bachelor,Somewhat important,No,3,46.5
Female,New Brunswick,Below Bachelor,Very important,No,2,65.7
Female,Ontario,Below Bachelor,Somewhat important,No,1,80
Female,Quebec,Below Bachelor,Not at all important,No,3,15.9
Female,Nova Scotia,Below Bachelor,Not at all important,No,4,37.3
Male,New Brunswick,Below Bachelor,Somewhat important,No,4,51.7
Male,Quebec,Below Bachelor,Somewhat important,No,2,39.7
Female,New Brunswick,Below Bachelor,Somewhat important,No,1,70.8
Female,Prince Edward Island,Below Bachelor,Somewhat important,No,1,48.2
Female,Quebec,Below Bachelor,Somewhat important,No,2,75.7
Male,Ontario,Below Bachelor,Very important,No,6,22.8
Male,Quebec,Below Bachelor,Somewhat important,No,2,62.5
Male,Quebec,Below Bachelor,Not very important,No,1,54.1
Female,Ontario,Below Bachelor,Not at all important,No,4,19.5
Female,Quebec,Below Bachelor,Not at all important,No,2,76.9
Male,New Brunswick,Below Bachelor,Somewhat important,No,2,66.4
Female,Ontario,Below Bachelor,Somewhat important,No,2,59.8
Female,Quebec,Below Bachelor,Very important,No,2,32.3
Female,Ontario,Below Bachelor,Very important,No,1,70.1
Male,British Columbia,Below Bachelor,Not at all important,No,2,62.2
Female,Ontario,Below Bachelor,Not at all important,No,4,21.3
Female,Ontario,Below Bachelor,Somewhat important,No,2,59
Female,Ontario,Below Bachelor,Very important,No,2,61.5
Female,Ontario,Below Bachelor,Not at all important,No,3,37
Female,Ontario,Below Bachelor,Not very important,No,3,37.8
Male,Ontario,Below Bachelor,Not very important,No,2,30.3
Male,New Brunswick,Below Bachelor,Somewhat important,No,2,68.3
Female,British Columbia,Below Bachelor,Very important,No,2,60.1
Female,Ontario,Below Bachelor,Somewhat important,No,4,34.7
Female,Ontario,Below Bachelor,Not at all important,No,3,59.1
Male,Alberta,Below Bachelor,Not very important,No,2,49.8
Female,British Columbia,Below Bachelor,Somewhat important,No,5,40.4
Female,Quebec,Below Bachelor,Somewhat important,No,1,78.8
Female,Quebec,Below Bachelor,Somewhat important,No,2,64.6
Male,Nova Scotia,Below Bachelor,Not at all important,No,2,59.3
Male,Quebec,Below Bachelor,Somewhat important,No,2,67.3
Female,Ontario,Below Bachelor,Not very important,No,4,17.3
Male,Alberta,Below Bachelor,Somewhat important,No,4,50
Male,Ontario,Below Bachelor,Very important,No,2,36.6
Male,British Columbia,Below Bachelor,Very important,No,2,56
Female,Alberta,Below Bachelor,Very important,No,2,70.8
Male,New Brunswick,Below Bachelor,Not very important,No,5,16.4
Male,British Columbia,Below Bachelor,Not at all important,No,1,44.5
Female,Quebec,Below Bachelor,Somewhat important,No,4,48.4
